task,model,strategy,language,lang_code,resource_level,direct_acc,strategy_acc,lift
mgsm,gpt-4.1,self_translate,Chinese,zh,high,0.52,0.94,0.41999999999999993
mgsm,gpt-4.1,english_cot,Chinese,zh,high,0.52,0.94,0.41999999999999993
mgsm,gpt-4.1,self_translate,German,de,high,0.56,0.96,0.3999999999999999
mgsm,gpt-4.1,english_cot,German,de,high,0.56,0.96,0.3999999999999999
mgsm,gpt-4.1,self_translate,French,fr,high,0.68,0.86,0.17999999999999994
mgsm,gpt-4.1,english_cot,French,fr,high,0.68,0.9,0.21999999999999997
mgsm,gpt-4.1,self_translate,Russian,ru,medium,0.7,0.96,0.26
mgsm,gpt-4.1,english_cot,Russian,ru,medium,0.7,0.94,0.24
mgsm,gpt-4.1,self_translate,Japanese,ja,medium,0.5,0.86,0.36
mgsm,gpt-4.1,english_cot,Japanese,ja,medium,0.5,0.88,0.38
mgsm,gpt-4.1,self_translate,Swahili,sw,low,0.64,0.82,0.17999999999999994
mgsm,gpt-4.1,english_cot,Swahili,sw,low,0.64,0.84,0.19999999999999996
mgsm,gpt-4.1,self_translate,Bengali,bn,low,0.56,0.9,0.33999999999999997
mgsm,gpt-4.1,english_cot,Bengali,bn,low,0.56,0.92,0.36
mgsm,claude-sonnet-4,self_translate,Chinese,zh,high,0.96,0.94,-0.020000000000000018
mgsm,claude-sonnet-4,english_cot,Chinese,zh,high,0.96,0.96,0.0
mgsm,claude-sonnet-4,self_translate,German,de,high,0.98,0.96,-0.020000000000000018
mgsm,claude-sonnet-4,english_cot,German,de,high,0.98,0.94,-0.040000000000000036
mgsm,claude-sonnet-4,self_translate,French,fr,high,0.94,0.94,0.0
mgsm,claude-sonnet-4,english_cot,French,fr,high,0.94,0.96,0.020000000000000018
mgsm,claude-sonnet-4,self_translate,Russian,ru,medium,0.94,0.94,0.0
mgsm,claude-sonnet-4,english_cot,Russian,ru,medium,0.94,0.96,0.020000000000000018
mgsm,claude-sonnet-4,self_translate,Japanese,ja,medium,0.9,0.92,0.020000000000000018
mgsm,claude-sonnet-4,english_cot,Japanese,ja,medium,0.9,0.9,0.0
mgsm,claude-sonnet-4,self_translate,Swahili,sw,low,0.9,0.88,-0.020000000000000018
mgsm,claude-sonnet-4,english_cot,Swahili,sw,low,0.9,0.84,-0.06000000000000005
mgsm,claude-sonnet-4,self_translate,Bengali,bn,low,0.94,0.94,0.0
mgsm,claude-sonnet-4,english_cot,Bengali,bn,low,0.94,0.94,0.0
belebele,gpt-4.1,self_translate,Chinese,zho_Hans,high,0.92,0.96,0.039999999999999925
belebele,gpt-4.1,english_cot,Chinese,zho_Hans,high,0.92,0.94,0.019999999999999907
belebele,gpt-4.1,self_translate,German,deu_Latn,high,0.92,0.94,0.019999999999999907
belebele,gpt-4.1,english_cot,German,deu_Latn,high,0.92,0.96,0.039999999999999925
belebele,gpt-4.1,self_translate,French,fra_Latn,high,0.94,0.94,0.0
belebele,gpt-4.1,english_cot,French,fra_Latn,high,0.94,0.98,0.040000000000000036
belebele,gpt-4.1,self_translate,Russian,rus_Cyrl,medium,0.98,0.98,0.0
belebele,gpt-4.1,english_cot,Russian,rus_Cyrl,medium,0.98,0.98,0.0
belebele,gpt-4.1,self_translate,Japanese,jpn_Jpan,medium,0.94,0.98,0.040000000000000036
belebele,gpt-4.1,english_cot,Japanese,jpn_Jpan,medium,0.94,0.94,0.0
belebele,gpt-4.1,self_translate,Swahili,swh_Latn,low,0.98,0.98,0.0
belebele,gpt-4.1,english_cot,Swahili,swh_Latn,low,0.98,0.98,0.0
belebele,gpt-4.1,self_translate,Hindi,hin_Deva,medium,0.82,0.8,-0.019999999999999907
belebele,gpt-4.1,english_cot,Hindi,hin_Deva,medium,0.82,0.82,0.0
belebele,claude-sonnet-4,self_translate,Chinese,zho_Hans,high,1.0,1.0,0.0
belebele,claude-sonnet-4,english_cot,Chinese,zho_Hans,high,1.0,1.0,0.0
belebele,claude-sonnet-4,self_translate,German,deu_Latn,high,0.96,0.96,0.0
belebele,claude-sonnet-4,english_cot,German,deu_Latn,high,0.96,0.96,0.0
belebele,claude-sonnet-4,self_translate,French,fra_Latn,high,0.94,0.94,0.0
belebele,claude-sonnet-4,english_cot,French,fra_Latn,high,0.94,0.96,0.020000000000000018
belebele,claude-sonnet-4,self_translate,Russian,rus_Cyrl,medium,1.0,1.0,0.0
belebele,claude-sonnet-4,english_cot,Russian,rus_Cyrl,medium,1.0,0.98,-0.020000000000000018
belebele,claude-sonnet-4,self_translate,Japanese,jpn_Jpan,medium,0.96,0.96,0.0
belebele,claude-sonnet-4,english_cot,Japanese,jpn_Jpan,medium,0.96,0.98,0.020000000000000018
belebele,claude-sonnet-4,self_translate,Swahili,swh_Latn,low,1.0,1.0,0.0
belebele,claude-sonnet-4,english_cot,Swahili,swh_Latn,low,1.0,0.96,-0.040000000000000036
belebele,claude-sonnet-4,self_translate,Hindi,hin_Deva,medium,0.9,0.88,-0.020000000000000018
belebele,claude-sonnet-4,english_cot,Hindi,hin_Deva,medium,0.9,0.88,-0.020000000000000018
