task,model,strategy,language,resource_level,english_acc,lang_acc,gap
mgsm,gpt-4.1,direct,Chinese,high,0.64,0.52,0.12
mgsm,gpt-4.1,direct,German,high,0.64,0.56,0.07999999999999996
mgsm,gpt-4.1,direct,French,high,0.64,0.68,-0.040000000000000036
mgsm,gpt-4.1,direct,Russian,medium,0.64,0.7,-0.05999999999999994
mgsm,gpt-4.1,direct,Japanese,medium,0.64,0.5,0.14
mgsm,gpt-4.1,direct,Swahili,low,0.64,0.64,0.0
mgsm,gpt-4.1,direct,Bengali,low,0.64,0.56,0.07999999999999996
mgsm,gpt-4.1,self_translate,Chinese,high,0.6,0.94,-0.33999999999999997
mgsm,gpt-4.1,self_translate,German,high,0.6,0.96,-0.36
mgsm,gpt-4.1,self_translate,French,high,0.6,0.86,-0.26
mgsm,gpt-4.1,self_translate,Russian,medium,0.6,0.96,-0.36
mgsm,gpt-4.1,self_translate,Japanese,medium,0.6,0.86,-0.26
mgsm,gpt-4.1,self_translate,Swahili,low,0.6,0.82,-0.21999999999999997
mgsm,gpt-4.1,self_translate,Bengali,low,0.6,0.9,-0.30000000000000004
mgsm,gpt-4.1,english_cot,Chinese,high,0.94,0.94,0.0
mgsm,gpt-4.1,english_cot,German,high,0.94,0.96,-0.020000000000000018
mgsm,gpt-4.1,english_cot,French,high,0.94,0.9,0.039999999999999925
mgsm,gpt-4.1,english_cot,Russian,medium,0.94,0.94,0.0
mgsm,gpt-4.1,english_cot,Japanese,medium,0.94,0.88,0.05999999999999994
mgsm,gpt-4.1,english_cot,Swahili,low,0.94,0.84,0.09999999999999998
mgsm,gpt-4.1,english_cot,Bengali,low,0.94,0.92,0.019999999999999907
mgsm,claude-sonnet-4,direct,Chinese,high,0.92,0.96,-0.039999999999999925
mgsm,claude-sonnet-4,direct,German,high,0.92,0.98,-0.05999999999999994
mgsm,claude-sonnet-4,direct,French,high,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,direct,Russian,medium,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,direct,Japanese,medium,0.92,0.9,0.020000000000000018
mgsm,claude-sonnet-4,direct,Swahili,low,0.92,0.9,0.020000000000000018
mgsm,claude-sonnet-4,direct,Bengali,low,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,self_translate,Chinese,high,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,self_translate,German,high,0.92,0.96,-0.039999999999999925
mgsm,claude-sonnet-4,self_translate,French,high,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,self_translate,Russian,medium,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,self_translate,Japanese,medium,0.92,0.92,0.0
mgsm,claude-sonnet-4,self_translate,Swahili,low,0.92,0.88,0.040000000000000036
mgsm,claude-sonnet-4,self_translate,Bengali,low,0.92,0.94,-0.019999999999999907
mgsm,claude-sonnet-4,english_cot,Chinese,high,1.0,0.96,0.040000000000000036
mgsm,claude-sonnet-4,english_cot,German,high,1.0,0.94,0.06000000000000005
mgsm,claude-sonnet-4,english_cot,French,high,1.0,0.96,0.040000000000000036
mgsm,claude-sonnet-4,english_cot,Russian,medium,1.0,0.96,0.040000000000000036
mgsm,claude-sonnet-4,english_cot,Japanese,medium,1.0,0.9,0.09999999999999998
mgsm,claude-sonnet-4,english_cot,Swahili,low,1.0,0.84,0.16000000000000003
mgsm,claude-sonnet-4,english_cot,Bengali,low,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,direct,Chinese,high,1.0,0.92,0.07999999999999996
belebele,gpt-4.1,direct,German,high,1.0,0.92,0.07999999999999996
belebele,gpt-4.1,direct,French,high,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,direct,Russian,medium,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,direct,Japanese,medium,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,direct,Swahili,low,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,direct,Hindi,medium,1.0,0.82,0.18000000000000005
belebele,gpt-4.1,self_translate,Chinese,high,1.0,0.96,0.040000000000000036
belebele,gpt-4.1,self_translate,German,high,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,self_translate,French,high,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,self_translate,Russian,medium,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,self_translate,Japanese,medium,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,self_translate,Swahili,low,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,self_translate,Hindi,medium,1.0,0.8,0.19999999999999996
belebele,gpt-4.1,english_cot,Chinese,high,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,english_cot,German,high,1.0,0.96,0.040000000000000036
belebele,gpt-4.1,english_cot,French,high,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,english_cot,Russian,medium,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,english_cot,Japanese,medium,1.0,0.94,0.06000000000000005
belebele,gpt-4.1,english_cot,Swahili,low,1.0,0.98,0.020000000000000018
belebele,gpt-4.1,english_cot,Hindi,medium,1.0,0.82,0.18000000000000005
belebele,claude-sonnet-4,direct,Chinese,high,1.0,1.0,0.0
belebele,claude-sonnet-4,direct,German,high,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,direct,French,high,1.0,0.94,0.06000000000000005
belebele,claude-sonnet-4,direct,Russian,medium,1.0,1.0,0.0
