task,model,strategy,lang_code,language,resource_level,accuracy,n_correct,n_total
mgsm,gpt-4.1,direct,en,English,high,0.64,32,50
mgsm,gpt-4.1,direct,zh,Chinese,high,0.52,26,50
mgsm,gpt-4.1,direct,de,German,high,0.56,28,50
mgsm,gpt-4.1,direct,fr,French,high,0.68,34,50
mgsm,gpt-4.1,direct,ru,Russian,medium,0.7,35,50
mgsm,gpt-4.1,direct,ja,Japanese,medium,0.5,25,50
mgsm,gpt-4.1,direct,sw,Swahili,low,0.64,32,50
mgsm,gpt-4.1,direct,bn,Bengali,low,0.56,28,50
mgsm,gpt-4.1,self_translate,en,English,high,0.6,30,50
mgsm,gpt-4.1,self_translate,zh,Chinese,high,0.94,47,50
mgsm,gpt-4.1,self_translate,de,German,high,0.96,48,50
mgsm,gpt-4.1,self_translate,fr,French,high,0.86,43,50
mgsm,gpt-4.1,self_translate,ru,Russian,medium,0.96,48,50
mgsm,gpt-4.1,self_translate,ja,Japanese,medium,0.86,43,50
mgsm,gpt-4.1,self_translate,sw,Swahili,low,0.82,41,50
mgsm,gpt-4.1,self_translate,bn,Bengali,low,0.9,45,50
mgsm,gpt-4.1,english_cot,en,English,high,0.94,47,50
mgsm,gpt-4.1,english_cot,zh,Chinese,high,0.94,47,50
mgsm,gpt-4.1,english_cot,de,German,high,0.96,48,50
mgsm,gpt-4.1,english_cot,fr,French,high,0.9,45,50
mgsm,gpt-4.1,english_cot,ru,Russian,medium,0.94,47,50
mgsm,gpt-4.1,english_cot,ja,Japanese,medium,0.88,44,50
mgsm,gpt-4.1,english_cot,sw,Swahili,low,0.84,42,50
mgsm,gpt-4.1,english_cot,bn,Bengali,low,0.92,46,50
mgsm,claude-sonnet-4,direct,en,English,high,0.92,46,50
mgsm,claude-sonnet-4,direct,zh,Chinese,high,0.96,48,50
mgsm,claude-sonnet-4,direct,de,German,high,0.98,49,50
mgsm,claude-sonnet-4,direct,fr,French,high,0.94,47,50
mgsm,claude-sonnet-4,direct,ru,Russian,medium,0.94,47,50
mgsm,claude-sonnet-4,direct,ja,Japanese,medium,0.9,45,50
mgsm,claude-sonnet-4,direct,sw,Swahili,low,0.9,45,50
mgsm,claude-sonnet-4,direct,bn,Bengali,low,0.94,47,50
mgsm,claude-sonnet-4,self_translate,en,English,high,0.92,46,50
mgsm,claude-sonnet-4,self_translate,zh,Chinese,high,0.94,47,50
mgsm,claude-sonnet-4,self_translate,de,German,high,0.96,48,50
mgsm,claude-sonnet-4,self_translate,fr,French,high,0.94,47,50
mgsm,claude-sonnet-4,self_translate,ru,Russian,medium,0.94,47,50
mgsm,claude-sonnet-4,self_translate,ja,Japanese,medium,0.92,46,50
mgsm,claude-sonnet-4,self_translate,sw,Swahili,low,0.88,44,50
mgsm,claude-sonnet-4,self_translate,bn,Bengali,low,0.94,47,50
mgsm,claude-sonnet-4,english_cot,en,English,high,1.0,50,50
mgsm,claude-sonnet-4,english_cot,zh,Chinese,high,0.96,48,50
mgsm,claude-sonnet-4,english_cot,de,German,high,0.94,47,50
mgsm,claude-sonnet-4,english_cot,fr,French,high,0.96,48,50
mgsm,claude-sonnet-4,english_cot,ru,Russian,medium,0.96,48,50
mgsm,claude-sonnet-4,english_cot,ja,Japanese,medium,0.9,45,50
mgsm,claude-sonnet-4,english_cot,sw,Swahili,low,0.84,42,50
mgsm,claude-sonnet-4,english_cot,bn,Bengali,low,0.94,47,50
belebele,gpt-4.1,direct,eng,English,high,1.0,50,50
belebele,gpt-4.1,direct,zho_Hans,Chinese,high,0.92,46,50
belebele,gpt-4.1,direct,deu_Latn,German,high,0.92,46,50
belebele,gpt-4.1,direct,fra_Latn,French,high,0.94,47,50
belebele,gpt-4.1,direct,rus_Cyrl,Russian,medium,0.98,49,50
belebele,gpt-4.1,direct,jpn_Jpan,Japanese,medium,0.94,47,50
belebele,gpt-4.1,direct,swh_Latn,Swahili,low,0.98,49,50
belebele,gpt-4.1,direct,hin_Deva,Hindi,medium,0.82,41,50
belebele,gpt-4.1,self_translate,eng,English,high,1.0,50,50
belebele,gpt-4.1,self_translate,zho_Hans,Chinese,high,0.96,48,50
belebele,gpt-4.1,self_translate,deu_Latn,German,high,0.94,47,50
belebele,gpt-4.1,self_translate,fra_Latn,French,high,0.94,47,50
belebele,gpt-4.1,self_translate,rus_Cyrl,Russian,medium,0.98,49,50
belebele,gpt-4.1,self_translate,jpn_Jpan,Japanese,medium,0.98,49,50
belebele,gpt-4.1,self_translate,swh_Latn,Swahili,low,0.98,49,50
belebele,gpt-4.1,self_translate,hin_Deva,Hindi,medium,0.8,40,50
belebele,gpt-4.1,english_cot,eng,English,high,1.0,50,50
belebele,gpt-4.1,english_cot,zho_Hans,Chinese,high,0.94,47,50
belebele,gpt-4.1,english_cot,deu_Latn,German,high,0.96,48,50
belebele,gpt-4.1,english_cot,fra_Latn,French,high,0.98,49,50
belebele,gpt-4.1,english_cot,rus_Cyrl,Russian,medium,0.98,49,50
belebele,gpt-4.1,english_cot,jpn_Jpan,Japanese,medium,0.94,47,50
belebele,gpt-4.1,english_cot,swh_Latn,Swahili,low,0.98,49,50
belebele,gpt-4.1,english_cot,hin_Deva,Hindi,medium,0.82,41,50
belebele,claude-sonnet-4,direct,eng,English,high,1.0,50,50
belebele,claude-sonnet-4,direct,zho_Hans,Chinese,high,1.0,50,50
belebele,claude-sonnet-4,direct,deu_Latn,German,high,0.96,48,50
belebele,claude-sonnet-4,direct,fra_Latn,French,high,0.94,47,50
belebele,claude-sonnet-4,direct,rus_Cyrl,Russian,medium,1.0,50,50
belebele,claude-sonnet-4,direct,jpn_Jpan,Japanese,medium,0.96,48,50
